cell_id,dataset,celltype,leiden,leiden_named,n_proteins_identified,intensity_max,intensity_min_detected,intensity_median,dynamic_range_log10
[235] DCT_1cell_WISHDIA_P1_0239.htrms.PG.Quantity,dct758,ProLIF,21,ProLIF,796,28872.541015625,45.37339401245117,209.78958129882812,2.803683740468309
[387] DCT_1cell_WISHDIA_P2_0012.htrms.PG.Quantity,dct758,DCT1,17,DCT1,589,46901.0,49.90084457397461,220.2857666015625,2.9730742064879636
[124] DCT_1cell_WISHDIA_P1_0128.htrms.PG.Quantity,dct758,ProLIF,10,ProLIF,602,37588.7890625,63.83244323730469,252.91320037841797,2.7700168672599594
[380] DCT_1cell_WISHDIA_P2_0005.htrms.PG.Quantity,dct758,DCT2,26,DCT1,810,34055.1484375,40.351627349853516,167.599853515625,2.9263217234279018
[547] DCT_1cell_WISHDIA_P2_0172.htrms.PG.Quantity,dct758,DCT2,15,DCT1,400,37513.3125,58.2574462890625,296.8402404785156,2.808833971467554
[257] DCT_1cell_WISHDIA_P1_0261.htrms.PG.Quantity,dct758,ProLIF,7,DCT2,804,18171.146484375,43.58540344238281,199.13985443115234,2.6200412590782047
[690] DCT_1cell_WISHDIA_P2_0315.htrms.PG.Quantity,dct758,DCT2,23,DCT2,1063,21836.76953125,32.998199462890625,146.5921173095703,2.820698147137681
[69] DCT_1cell_WISHDIA_P1_0073.htrms.PG.Quantity,dct758,ProLIF,11,ProLIF,854,23082.279296875,42.883201599121094,167.37378692626953,2.7309914900035435
[516] DCT_1cell_WISHDIA_P2_0141.htrms.PG.Quantity,dct758,DCT2,30,DCT1,695,20357.451171875,49.7013053894043,212.20079040527344,2.6123556063009135
[246] DCT_1cell_WISHDIA_P1_0250.htrms.PG.Quantity,dct758,ProLIF,7,DCT2,739,14688.595703125,47.744876861572266,177.21246337890625,2.4880534996450177
[167] DCT_1cell_WISHDIA_P1_0171.htrms.PG.Quantity,dct758,DCT2,7,DCT2,939,21394.521484375,38.61459732055664,167.8923797607422,2.7435510670784087
[94] DCT_1cell_WISHDIA_P1_0098.htrms.PG.Quantity,dct758,DCT1,18,DCT1,669,36143.3046875,49.61812973022461,208.22320556640625,2.8623874685846933
